title,creator,publisher,date,date is approximate,description,subject,collection,contributing institution,publisher digital,source,listing code,identifier,format original,type,format,digitization specifications,rights,rightsstatement,language,metadata cataloger,metadata assistants,scanner technician,scanner assistants,collection administrator,filename,oclc number,date created,date modified,reference url,cdm-id,contentdm file name,contentdm file path,object-id
Vince Guaraldi Blindfold Test -- Radio Show,"Feather, Leonard, 1914-1994",,1965-03,yes,Vince Guaraldi participates in one of Leonard Feather's blindfold tests. Vince Guaraldi was an American jazz pianist. Music plays with a radio host commenting in between songs. 13:15 radio show.,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_tjader,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6899,6899,6900.mp3,/lfc/image/6900.mp3,lfc6899
"Joe Williams (Blindfold Test), February [1961?]","Feather, Leonard, 1914-1994",,1961-02-01,,"This is a recording of a Blindfold Test interview taken by Leonard Feather around February 1961 with Joe Williams. Leonard created the 'Blindfold Test' for Metronome magazine and later for DownBeat magazine. The test also became a segment of Feather's radio show 'Platterbrains.' It consisted of artists listening to a recording, without knowledge of the performer and then offering an opinion, this process often resulting in surprising results.","Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_williams,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6900,6900,6901.mp3,/lfc/image/6901.mp3,lfc6900
Oscar Peterson Blindfold Test -- Lester Young Blindfold Test,"Feather, Leonard, 1914-1994",,1961,,Recording identified as most likely Oscar Peterson participating in one of Leonard Feather's blindfold tests. Oscar Peterson was a Canadian jazz pianist. Lester Young participates in one of Leonard Feather's blindfold  tests. Lester Young was an American saxophonist. 7:56 Lester Young blindfold test; 23:20 Music until end.,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_young,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6901,6901,6902.mp3,/lfc/image/6902.mp3,lfc6901
Les McCann Blindfold Test--Stan Kenton Interview--A Blindfold Test,"Feather, Leonard, 1914-1994",,1961-01,,Les McCann participates in one of Leonard Feather's blindfold tests. Les McCann is an American jazz pianist and vocalist. In the background there is a recording playing a previous interview. Recording identified as most likely Leonard Feather interviewing Stan Kenton. Stan Kenton was an American musical artist. Bill and another person participate in one of Leonard Feather's blindfold tests. 29:29 Stan Kenton Interview; 32:55 Blindfold Test.,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_kenton-mccann,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6902,6902,6903.mp3,/lfc/image/6903.mp3,lfc6902
Stan Kenton Interview & Blindfold Test,"Feather, Leonard, 1914-1994",,1966-05,,Recording identified as most likely Leonard Feather interviewing Stan Kenton and Kenton participating in one of Feather's blindfold tests. Stan Kenton was an American musical artist. 18:30 Music until the end.,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_kenton-holiday,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6903,6903,6904.mp3,/lfc/image/6904.mp3,lfc6903
Phil Woods Interview and Blindfold Test--Performances By Jackie and Roy & Stéphane Grappelli,"Feather, Leonard, 1914-1994",,1976-10-07,,"Leonard Feather interviews Phil Woods. Phil Woods was a jazz musician. Phil Woods participates in one of Leonard Feather's blindfold tests. Merv Griffin interviews Jackie and Roy about Leonard Feather's book ""The Pleasures of Jazz."" Followed by a performance by Jackie and Roy. Stéphane Greppalli performs with his violin. 11:20 Phil Woods blindfold test; 22:00 Jackie and Roy interview and performance; 27:39 Stéphane Grappelli performance.","Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_woods-griffin,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6906,6906,6907.mp3,/lfc/image/6907.mp3,lfc6906
Frank Cook & J. Otis Williams Blindfold Test,"Feather, Leonard, 1914-1994",,1960,yes,Recording identified as most likely Frank Cook and J. Otis Williams participating in one of Leonard Feather's blindfold tests.,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_cook,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6907,6907,6908.mp3,/lfc/image/6908.mp3,lfc6907
Jon Hendricks Blindfold Test--Monica Zetterlund Blindfold Test,"Feather, Leonard, 1914-1994",,1960,yes,An unidentified woman participates in one of Leonard Feather's blindfold tests. Jon Hendricks participates in one of Leonard Feather's blindfold tests. Jon Hendricks was an American lyricist. Monica Zetterlund participates in one of Leonard Feather's blindfold tests. Monica Zetterlund was a Swedish jazz singer. 16:30 Jon Hendricks blindfold test; 26:41 Music; 30:30 Monica Zetterlund blindfold test.,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_hendricks,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6908,6908,6909.mp3,/lfc/image/6909.mp3,lfc6908
Paul Desmond Blindfold Test,"Feather, Leonard, 1914-1994",,1958,,Paul Desmond participates in one of Leonard Feather's blindfold tests. Paul Desmond was an American saxophonist.,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_desmond,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6909,6909,6910.mp3,/lfc/image/6910.mp3,lfc6909
Ronnie Ross Blindfold Test,"Feather, Leonard, 1914-1994",,1958,,Ronnie Ross participates in one of Leonard Feather's blindfold tests. Ronnie Ross was a British Saxophonist.,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_ross,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6910,6910,6911.mp3,/lfc/image/6911.mp3,lfc6910
"Johnny Mandel (Blindfold Test), 1958","Feather, Leonard, 1914-1994",,1958,,"This is a recording of a Blindfold Test interview taken by Leonard Feather in 1958 with Johnny Mandel. Leonard created the 'Blindfold Test' for Metronome magazine and later for DownBeat magazine. The test also became a segment of Feather's radio show 'Platterbrains.' It consisted of artists listening to a recording, without knowledge of the performer and then offering an opinion, this process often resulting in surprising results.","Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_mandel,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6911,6911,6912.mp3,/lfc/image/6912.mp3,lfc6911
Dizzy Gillespie Blindfold Test,"Feather, Leonard, 1914-1994",,1958-11-01,,Dizzy Gillespie participates in one of Leonard Feather's blindfold tests. Dizzy Gillespie was an American bandleader. An interview conducted in French occurs after the Gillespie interview. 12:56 Music; 45:56 French Interview.,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_gillespie,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6913,6913,6914.mp3,/lfc/image/6914.mp3,lfc6913
Ben Webster Blindfold Test,"Feather, Leonard, 1914-1994",,1958,,Recording identified as most likely Ben Webster participating in one of Leonard Feather's blindfold tests. Ben Webster was an American saxophonist.,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_webster,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6914,6914,6915.mp3,/lfc/image/6915.mp3,lfc6914
Erroll Garner Blindfold Test,"Feather, Leonard, 1914-1994",,1958,,Recording identified as most likely Erroll Garner participating in one of Leonard Feather's blindfold tests. Erroll Garner was an American jazz pianist.,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_garner,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6915,6915,6916.mp3,/lfc/image/6916.mp3,lfc6915
"George Shearing (Blindfold Test), 1958","Feather, Leonard, 1914-1994",,1958,,"This is a recording of a Blindfold Test interview taken by Leonard Feather in 1958 with George Shearing. Leonard created the 'Blindfold Test' for Metronome magazine and later for DownBeat magazine. The test also became a segment of Feather's radio show 'Platterbrains.' It consisted of artists listening to a recording, without knowledge of the performer and then offering an opinion, this process often resulting in surprising results.","Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_shearing,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6916,6916,6917.mp3,/lfc/image/6917.mp3,lfc6916
Benny Goodman Blindfold Test,"Feather, Leonard, 1914-1994",,1960,yes,Benny Goodman participates in one of Leonard Feather's blindfold tests. Benny Goodman was an American clarinetist.,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_goodman,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6917,6917,6918.mp3,/lfc/image/6918.mp3,lfc6917
Branford Marsalis Blindfold Test,"Feather, Leonard, 1914-1994",,1985,yes,Branford Marsalis participates in one of Leonard Feather's blindfold tests. Branford Marsalis was an American saxophonist. 14:36 Music until end.,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_ranford,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6918,6918,6919.mp3,/lfc/image/6919.mp3,lfc6918
"Jack Elliott -- Luther Henderson -- Dave Liebman. Blindfold Test, April 9, 1984","Feather, Leonard, 1914-1994",,1984-04-09,,"This is a recording of a Blindfold Test interview taken by Leonard Feather on April 9, 1984 with artists Jack Elliott, Luther Henderson, and Dave Liebman. Leonard created the 'Blindfold Test' for Metronome magazine and later for DownBeat magazine. The test also became a segment of Feather's radio show 'Platterbrains.' It consisted of artists listening to a recording, without knowledge of the performer and then offering an opinion, this process often resulting in surprising results.","Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_elliot,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6919,6919,6920.mp3,/lfc/image/6920.mp3,lfc6919
Duke Ellington Performance -- Lester Young Blindfold Test,"Feather, Leonard, 1914-1994",,1960,yes,Duke Ellington on the piano and an unidentified vocalist perform a song together. Recording identified as most likely Lester Young participating in one of Leonard Feather's blindfold tests. 3:15 Lester Young blindfold test; 10:52 Blindfold test; 26:12 Music until end.,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,,IJC002IV,lf.iv.bft_lester,Audiotapes,Sound,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,,,2014-02-11,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6921,6921,6922.mp3,/lfc/image/6922.mp3,lfc6921
